prix,type_de_bien,details,zone
997000,Appartement à vendre - neuf,"5 pièces · 3 chambres · 123,2 m² · 12ème étage",Part-Dieu  Lyon 3ème arrondissement (69003)
680000,Appartement à vendre - neuf,5 pièces · 4 chambres · 105 m² · dès le 31/03/2028,Saint Louis  Lyon 7ème arrondissement (69007)
875000,Maison à vendre,8 pièces · 4 chambres · 240 m² · 444 m² de terrain,Péron (01630)
325000,Appartement à vendre - neuf,"4 pièces · 88,5 m² · 2ème étage · dès le 30/06/2027",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
760000,Appartement à vendre,5 pièces · 4 chambres · 204 m² · Étage 1/8,Ferrandière Maisons-Neuves  Villeurbanne (69100)
275000,Appartement à vendre - neuf,"4 pièces · 78,8 m²",centre Ville-La Chartonnière-La Barre  Villefranche-sur-Saône (69400)
459900,Appartement à vendre - neuf,3 pièces · 2 chambres · 74 m² · dès le 30/09/2027,Est  Saint-Cyr-au-Mont-d'Or (69450)
144000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 36,1 m² · 1er étage",Canal  Givors (69700)
390000,Duplex à vendre - neuf,"3 pièces · 2 chambres · 64,9 m² · 10ème étage",Gratte Ciel  Villeurbanne (69100)
419200,Appartement à vendre - neuf,5 pièces · 4 chambres · 105 m² · dès le 31/03/2028,Croix Luizet  Villeurbanne (69100)
569000,Duplex à vendre - neuf,4 pièces · 3 chambres · 90 m² · dès le 31/12/2026,Girondins  Lyon 7ème arrondissement (69007)
515000,Appartement à vendre - neuf,"5 pièces · 3 chambres · 98,8 m² · 3ème étage",Montessuy  Caluire-et-Cuire (69300)
274000,Appartement à vendre - neuf,2 pièces · 44 m²,Le Vernay   Caluire-et-Cuire (69300)
332216,Appartement à vendre - neuf,2 pièces · 43 m²,Saint Irénée  Lyon 5ème arrondissement (69005)
470000,Appartement à vendre,5 pièces · 3 chambres · 117 m² · Étage 4/10,Bissardon  Caluire-et-Cuire (69300)
182000,Appartement à vendre - neuf,"4 pièces · 79,1 m² · Étage 1/4 · dès le 01/07/2027",Baudières  Bourg-en-Bresse (01000)
275000,Appartement à vendre - Première occupation,3 pièces · 2 chambres · 57 m² · RDC/6,Lyon 9ème arrondissement (69009)
299000,Appartement à vendre - Première occupation,3 pièces · 2 chambres · 64 m² · Étage 1/2,Centre  Dardilly (69570)
316450,Maison à vendre - neuf,"4 pièces · 3 chambres · 78,9 m² · dès le 30/06/2028",Cornavent  Décines-Charpieu (69150)
233100,Appartement à vendre - neuf,3 pièces · 61 m² · Étage 2/3 · dès le 31/05/2028,Sain-Bel (69210)
228000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 41,2 m² · RDC",Grandes-Terres Revoison  Genas (69740)
210000,Appartement à vendre - neuf,3 pièces · 66 m²,Perica-La Roue  Rillieux-la-Pape (69140)
